商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,30天销售量,30天成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
601128937553,1,2019/10/3,0,至臻高端羊绒工厂店,4蓝钻,帅帅诚信经营,2030元,4.9,4.9,4.9,458.00,468.00,428.00,288.00,328.00,淘金币可抵6.56元,1,S/M/L/XL,11648,蚂蚁花呗/信用卡支付/集分宝,0,564,21,1,127,204,308,190,10,15,127,0,0,很舒服/(31)/质量蛮好/(25)/面料好/(17)/颜色很好/(14)/穿着美/(11)/外形好看/(9)/做工很好/(8)/码数很准/(6)/划算/(5)/态度不错/(4),
599963951138,1,2019/10/3,0,佳佳巴黎法代,1蓝冠,sanrio_kitty,1000元,4.9,4.9,4.9,2200.00,2100.00,1800.00,1760.00,1730.00,80元店铺优惠券/满1500元可用/领取,1,0/1/2/3,32,蚂蚁花呗/信用卡支付/集分宝,0,298,8,0,79,77,83,67,0,0,79,0,0,质量好/(30)/是正品/(23)/很舒适/(21)/穿着漂亮/(16)/衣服很合身/(11)/款式蛮好/(9)/百搭/(7)/版型好看/(6)/发货快/(3)/服务好/(3),
602720182552,1,2019/10/3,0,LEMON/CHEN/柠家精选/高阶成衣,4蓝冠,misscity_no1,1000元,4.8,4.9,4.9,1998.00,1850.00,1780.00,1450.00,499.00,0,0,S/M/L,2046,蚂蚁花呗/信用卡支付/集分宝,0,1556,102,1,0,141,470,2,0,0,0,0,0,0,
603247539637,1,2019/10/3,1,钱夫人家/雪梨定制,4金冠,钱夫人209,4142.69元,4.8,4.8,4.8,512.10,512.10,494.10,0,323.10,0,0,M预定10月12发货/L预定10月12发货/S预定10月15发货/M预定10月15发货/L预定10月15发货,30351,蚂蚁花呗/信用卡支付/集分宝,0,5682,98,0,0,295,2224,0,0,0,0,0,0,0,
599840397253,1,2019/10/3,0,魅力潮包,2蓝冠,魅力朝包,1001元,4.9,4.9,4.9,2550.00,1700.00,1620.00,1545.30,1100.00,0,1,1/2/3,9,蚂蚁花呗/信用卡支付/集分宝,0,309,4,0,109,137,64,48,0,2,109,0,0,衣服不错/(21)/很舒服/(13)/版型好看/(12)/穿着美/(11)/正品/(10)/款式好/(9)/面料好/(7)/划算/(6)/如实描述/(6)/态度不错/(5),
599420976144,1,2019/10/3,0,Jay日本代购,5蓝钻,太阳姐姐1,2000元,4.9,4.9,4.9,2350.00,1995.00,1600.00,1850.00,1955.00,淘金币可抵39.10元,1,0码/1码/2码/3码,45,蚂蚁花呗/信用卡支付/集分宝,1,233,5,1,84,107,106,78,0,0,83,1,0,衣衣很舒服/(18)/质量不错/(15)/做工好/(8)/很便宜/(6)/穿上好看/(6)/衣衣是正品/(6)/款式很好/(5)/和描述一致/(3)/外形好看/(3),
601999961153,1,2019/10/3,0,naz/那子微胖大码独立自制,5蓝冠,娃娃鱼波司登专卖,3023元,4.8,4.8,4.8,224.20,197.60,177.65,177.65,155.00,淘金币最高可抵商品价/2%,1,2码适合L-2xl/3码适合3xl-4xl,1061,蚂蚁花呗/信用卡支付/集分宝,0,4224,13,1,15,187,1281,334,6,0,15,0,0,0,
555054414614,1,2019/10/3,0,夜光奶嘴日本正品代购直邮,2蓝冠,夜光奶嘴,5000元,4.9,4.9,4.8,5200.00,3120.00,2720.00,2400.00,1710.00-1860.00,0,1,男款XL（V领）/男款L（V领）/男款M（V领）/男款S（V领）/女款L（圆领）/女款M（圆领）/女款S（圆领）,2245,蚂蚁花呗/信用卡支付/集分宝,0,996,33,0,18,206,3,3,0,1,18,0,0,0,
597456244198,1,2019/10/3,0,chicJOC/极简极奢,1金冠,joc_studio,1000元,4.9,4.9,4.9,4219.99,2699.99,1839.99,1579.99,299.99,每满200减20,0,34/36/38/40/42,227,蚂蚁花呗/信用卡支付/集分宝,0,12614,247,0,4146,280,2392,980,211,36,4140,3,3,很舒适/(188)/颜色很美/(88)/穿着漂亮/(71)/宝贝很赞/(52)/版式好/(52)/尺码很准/(20)/百搭/(20)/料子不错/(15)/做工不错/(10)/衣服蛮薄/(26),
602521891685,1,2019/10/3,0,颖宝意大利折扣代买,2蓝钻,独家记忆假面,1000元,5.0,5.0,5.0,730.00,730.00,440.00,588.00,710.00,淘金币可抵14.20元,1,XS/S/M,1371,蚂蚁花呗/信用卡支付/集分宝,1,113,21,0,39,241,99,64,5,1,39,0,0,0,
